name,description,long_description
ChemBERTa: Predict Binding of Inhibitors to BACE-1,Predicts inhibition for SMILES-molecules to human beta-secretase 1 using ChemBERTa.,"<p>Predicts binding and inhibition of molecules, in SMILES format, to human beta-secretace1 (BACE-1). BACE-1 has been implicated as a central player in the pathogenesis of Alzheimer's disease. Our model was fine-tuned with the BACE dataset and uses the ChemBERTa transformer.<br><br><strong>Example use case</strong>: Alzheimer's research.<br><br><strong>Technology</strong>: ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.845&nbsp;</p>
"
ChemBERTa: Molecule Side Effect - Skin and Tissue,Predicts if a SMILES-molecule will cause skin and subcutaneous tissue disorders using ChemBERTa.,"<p>Predicts possible undesirable side effects on the skin and subcutaneous tissue of molecules (SMILES format). Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.73</p>
"
SpliceAI: A deep learning-based tool to identify splice variants,SpliceAI can precisely predict splice junctions from any pre-mRNA transcript sequence by using a deep neural network.,"<p>Pre-mRNAs are spliced into mature transcripts with extraordinary precision, but it is still unclear how the cellular machinery manages to be so particular. SpliceAI is a deep residual neural network that just requires the genomic sequence of the pre-mRNA transcript as input to predict whether each point in a pre-mRNA transcript is a splice donor, acceptor, or neither.<br><br><strong>Example use case:</strong>  Predicting splice variants<br><br><strong>Technology:</strong> Deep Neural Network (DNN)<br><br><strong>Limitation: </strong>Some of the parameters are kept as default. Please check this <a href=""https://github.com/Illumina/SpliceAI"" target=""_self"">page</a> for more information.<br><br><strong>Metrics:</strong> Some of the metrics related to work can be found in the <a href=""https://www.cell.com/cell/fulltext/S0092-8674(18)31629-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867418316295%3Fshowall%3Dtrue#secsectitle0035"" target=""_self"">article</a>.</p>
"
ChemBERTa: Molecule Side Effect - Product Issues,Predicts if a SMILES-molecule will encounter Product Issues using ChemBERTa.,"<p>Predicts possible undesirable product issues of molecules (SMILES format). Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.66</p>
"
ChemBERTa: Molecule Side Effect - Investigations,Predicts if a SMILES-molecule had Investigations issues using ChemBERTa.,"<p>Predicts possible Investigations issues of molecules (SMILES format). The issues include laboratory tests and other medical investigations that gave an unusual reading. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.67</p>
"
ChemBERTa: Molecule Side Effect - General Disorders and Administration Site Conditions,Predicts if a SMILES-molecule will have General disorders and administration site conditions.,"<p>Predicts possible undesirable General disorders and administration site conditions of molecules (SMILES format). These are a class of disorders that encompasses conditions of a general kind that result from a disease, the treatment of disease or administration of treatment at a particular site and are manifested by a characteristic set of symptoms and signs. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.71</p>
"
ChemBERTa: Molecule Side Effect - Eye disorders,"Predicts if a SMILES-molecule will cause eye disorders, using ChemBERTa.","<p>Predicts if a molecule may produce undesirable eye disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.65</p>
"
ChemBERTa: Molecule Side Effect - Endocrine disorders,"Predicts if a SMILES-molecule may cause Endocrine disorders, using ChemBERTa.","<p>Predicts if a molecule may cause Endocrine disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><strong>Example use case</strong>: Drug interactions and side effects.<br><br><strong>Technology</strong>: ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics</strong></p>
<p>Test-AUC 0.67</p>
"
ChemBERTa: Molecule Side Effect - Blood and lymphatic system disorders,"Predicts if a SMILES-molecule may cause Blood and lymphatic system disorders, using ChemBERTa.","<p>Predicts if a molecule may cause Blood and lymphatic system disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature.&nbsp;</p>
<p><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.67</p>
"
ChemBERTa: Molecule Side Effect -  Musculoskeletal and connective tissue disorders,"Predicts if a SMILES-molecule may cause Musculoskeletal and connective disorders, using ChemBERTa.","<p>Predicts if a molecule may cause Musculoskeletal and connective tissue disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.72</p>
"
ChemBERTa: Molecule Side Effect - Gastrointestinal disorders,"Predicts if a SMILES-molecule may cause Gastrointestinal disorders, using ChemBERTa.","<p>Predicts if a molecule may cause Gastrointestinal disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.78</p>
"
ChemBERTa: Molecule Side Effect - Renal and urinary disorders,"Predicts if a SMILES-molecule may cause Renal and urinary disorders, using ChemBERTa.","<p>Predicts if a molecule may cause  Renal and urinary disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology:</strong> ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.69</p>
"
"ChemBERTa: Molecule Side Effect - Respiratory, thoracic and mediastinal disorders","Predicts if a SMILES-molecule may cause Respiratory and mediastinal disorders, using ChemBERTa.","<p>Predicts if a molecule may cause  Respiratory, thoracic and mediastinal disorders. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case</strong>: Drug interactions and side effects.<br><br><strong>Technology</strong>: ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics</strong><br>Test-AUC 0.67</p>
"
ChemBERTa: Molecule Side Effect - Infections and infestations,"Predicts if a SMILES-molecule may contribute to Infections and infestations, using ChemBERTa.","<p>Predicts if a molecule may contribute to Infections and infestations caused by pathogens. Our model was fine-tuned with the SIDER dataset and uses the ChemBERTa transformer. We follow the standard ""System Organ Classes"" nomenclature. <br><br><strong>Example use case:</strong> Drug interactions and side effects.<br><br><strong>Technology: </strong>ChemBERTa Transformer of 77 million molecules.<br><br><strong>Metrics: </strong>Test-AUC 0.67</p>
"
DeepConsensus: Correct Errors in PacBio CSS Data,DeepConsensus uses gap-aware sequence transformers to correct errors in PacBio data.,"<p>DeepConsensus (v1.2) uses gap-aware sequence transformers to correct errors in Pacific Biosciences (PacBio) Circular Consensus Sequencing (CCS) data. This results in greater yield of high-quality reads.<br><br><span style=""font-weight: bold"">Example use case: </span>Correct errors in Pacific Biosciences (PacBio) Circular Consensus Sequencing (CCS) data.<br><br><span style=""font-weight: bold"">Technology: </span>Gap-aware sequence transformers<br><br><span style=""font-weight: bold"">Limitation: </span>This is not an official Google product. The content of this research code repository (i) is not intended to be a medical device; and (ii) is not intended for clinical use of any kind, including but not limited to diagnosis or prognosis.<br><br><span style=""font-weight: bold"">Metrics: </span>Some of the metrics related to work can be found <span style=""color: #0088FF""><a href=""https://github.com/google/deepconsensus/blob/r1.2/docs/assembly_metrics.md"" target=""_blank"" rel=""noreferrer"">here</a></span></p>"
Auto3D: Generating Low-Energy Conformers from SMILES,Auto3D generates low-energy 3D structures with ANI Neural Network Potentials using SMILES as the input.,"<p>Computational programs speed up the processes of chemical discovery, but they frequently require accurate three-dimensional molecular data as part of the input. Obtaining optimal molecular structures is difficult because it necessitates the enumeration and optimization of a vast space of stereoisomers and conformers. Auto3D allows you to obtain favorable 3D conformations of organic molecules from an automatically generated stereoisomeric conformational space that has been optimized by atomistic neural network potentials (NNPs) like ANI or AIMNet.<br><br><span style=""font-weight: bold"">Example use case:</span> Generating 3D structures from SMILES<br><br><span style=""font-weight: bold"">Technology:</span> Neural Network Potentials (NNPs)<br><br><span style=""font-weight: bold"">Limitation:</span><br>- The current approach does not take into account the physical environment, and all calculations were done in the gas phase.<br>- In real-world applications, some chiral molecules are used in racemic form or have poorly defined stereo centers, so assigning specific stereo information may result in over-curation.<br>- The current NNPs of Auto3D optimize geometries in a vacuum condition.<br>- Only AIMNET and ANI2x models are currently available.<br>- Currently, twenty 3D structures of SMILES can be generated.<br><br><span style=""font-weight: bold"">Metrics:</span> Some of the metrics related to work can be found in the <span style=""color: #0088FF; text-decoration: underline""><a href=""https://chemrxiv.org/engage/chemrxiv/article-details/631b69105351a3bdb1f4a2c1"" target=""_blank"" rel=""noreferrer"">article</a></span>.</p>"
PeakVI for scATAC-seq Analysis,peakVI for scTAC-seq data can be used for differential accessibility analysis among other tasks,"<p>peakVI (Python class PEAKVI) is a generative model of scATAC-seq data that can subsequently be used for many common downstream tasks. The advantages of peakVI are: (i) Comprehensive in capabilities. (ii) Scalable to very large datasets (>1 million cells).<span style=""font-size: 14px""><br><br></span><span style=""font-weight: bold"">Example use case:</span> Analyze and visualize scATACseq data<br><span style=""font-size: 14px""><br></span><span style=""font-weight: bold"">Limitations:</span><br>-Effectively requires a GPU for fast inference.<br>-Latent space is not interpretable, unlike that of a linear method.</p>"
MultiVI for Multiomic Data Analysis,For the analysis of scRNA and scATAC-seq datasets that were jointly profiled (multiomic/ paired),"<p>MultiVI multimodal generative model capable of integrating multiome, scRNA-seq and scATAC-seq data. After training, it can be used for many common downstream tasks, and also for imputation of a missing modality.<br>The advantages of multiVI are: (i) Comprehensive in capabilities. Able to perform DE gene, DA region analysis. (ii) Scalable to very large datasets (&gt;1 million cells). (iii) Once trained with sufficient multimodal data, able to accurately input missing modalities.<br><br>Important: MultiVI requires the datasets to use shared features. scATAC-seq datasets need to be processed to use a shared set of peaks. This features dataset must be included in the inputs<br><br><strong>Example use case:</strong>  MultiVI can be used for many common downstream tasks, and also for imputation of a missing modality<br><br><strong>Limitations:</strong>  Effectively requires a GPU for fast inference.</p>
"
"DiffDock: Diffusion Steps, Twists, and Turns for Molecular Docking",Predict the binding structure of a small molecule ligand to a protein using AI diffusion.,"<p>Predict the binding structure of a small molecule ligand to a protein. Here, molecular docking is framed as a generative modeling problem over the non-Euclidean manifold of ligand poses. This manifold is mapped to the product space of the degrees of freedom (translational, rotational, and torsional) involved in docking.<br><br><span style=""font-weight: bold"">Example use case: </span>Predict binding structure of a ligand to a protein for the sake of drug discovery<br><br><span style=""font-weight: bold"">Technology: </span>Diffusion<br><br><span style=""font-weight: bold"">Metrics: </span>38% top-1 success rate (RMSD<2Å) on PDB-Bind</p>"
PBMC scATAC-seq analysis with PeakVI,Pretrained PBMC model for analysis of differential accessibility,"<p style=""text-align:start;""><span style=""color: rgb(0,0,0);background-color: rgb(255,255,255);font-size: 14px;font-family: Poppins, sans-serif;"">peakVI (Python class PEAKVI) is a generative model of scATAC-seq data that can subsequently be used for many common downstream tasks. Here we present a pretrained PBMC (white blood cell) dataset which can be used for differential accessibility analysis.</span></p>
"
FoldingDiff: Diffusion Model for Protein Backbone generation,A new diffusion-based generative model that designs protein backbone structures via a procedure that mirrors the native folding process.,"<p>Since they are involved in practically every biological activity, proteins are essential for life. The capacity to create innovative, physically foldable protein structures using computation may result in new biological understandings and therapeutic developments for diseases without cures. In this study, inter-residue angles in protein backbones are used rather than cartesian atom coordinates. Training a denoising diffusion probabilistic model with a basic transformer backbone shows that the model produces very realistic protein structures with complexity and structural patterns that are similar to those of naturally occurring proteins.</p>
<p><span style=""font-weight: bold"">Example Use Case: </span>Generating 3D protein backbone structures from the <span style=""text-decoration: underline; color: #0088FF""><a href=""https://huggingface.co/wukevin/foldingdiff_cath"" target=""_blank"" rel=""noreferrer"">pre-trained model</a></span>.</p>
<p><span style=""font-weight: bold"">Technology: </span>Diffusion Model</p>
<p><span style=""font-weight: bold"">Limitations:</span></p>
<ul>
  <li class=""list unordered-list-item depth0"" style=""margin-left:2.5em;list-style-type: disc;position: relative;margin-left: 2.5em"">Compared to <span style=""font-style: italic"">natural </span>proteins, the lengths of the produced structures are still quite small</li>
  <li class=""list unordered-list-item depth0"" style=""margin-left:2.5em;list-style-type: disc;position: relative;margin-left: 2.5em"">When a protein is formulated as a series of angles, errors that occur early in the chain dramatically change the overall generated structure</li>
  <li class=""list unordered-list-item depth0"" style=""margin-left:2.5em;list-style-type: disc;position: relative;margin-left: 2.5em"">The tool is incapable of handling multi-chain complexes or ligand interactions</li>
  <li class=""list unordered-list-item depth0"" style=""margin-left:2.5em;list-style-type: disc;position: relative;margin-left: 2.5em"">Only capable of producing static structures</li>
  <li class=""list unordered-list-item depth0"" style=""margin-left:2.5em;list-style-type: disc;position: relative;margin-left: 2.5em"">Evaluating and visualizing (PyMOL) part is not included in this version. Please see the code page.</li>
</ul>
<p><span style=""font-weight: bold"">Metrics: </span>Some metrics related to TM-Scores can be found in the <span style=""text-decoration: underline; color: #0088FF""><a href=""https://arxiv.org/abs/2209.15611"" target=""_blank"" rel=""noreferrer"">article</a></span>.</p>"
BioGPT: Text Generation,"BioGPT is a language model trained for biomedical tasks, it is trained on the PubMed dataset which contains 15 million abstracts.","<div class=""public-DraftStyleDefault-ltr public-DraftStyleDefault-block"" style=""box-sizing: border-box; font-family: Poppins, sans-serif !important; text-align: inherit; position: relative; margin: 1em 0px; padding: 0px; direction: ltr""><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">BioGPT is a language model trained for biomedical tasks, it is trained on the PubMed dataset which contains 15 million abstracts. BioGPT outperforms larger, more general language models in biomedical language benchmarks.</span></div>
<div class=""public-DraftStyleDefault-ltr public-DraftStyleDefault-block"" style=""box-sizing: border-box; font-family: Poppins, sans-serif !important; text-align: inherit; position: relative; margin: 1em 0px; padding: 0px; direction: ltr""><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box; font-weight: bold"">Example use case: </span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">Generate text within the biomedical domain. See examples below.<br><br></span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box; font-weight: bold"">Technology: </span><span style=""font-family: Poppins, sans-serif !important; margin: 0px; padding: 0px; box-sizing: border-box"">GPT-2 backbone<br></span><br><span style=""font-weight: bold"">Limitations: </span>Sometimes produces false information</div>"
BioGPT: Question and Answer - PubMed,BioGPT: Question and Answer - PubMed is a language model fine-tuned to answer yes/no/maybe questions for biomedical tasks.,"<p>BioGPT: Question and Answer - PubMed is a language model fine-tuned on the expert annotated PubMedQA dataset which is a biomedical question-answering dataset, to answer yes/no/maybe questions for biomedical tasks. BioGPT outperforms larger, more general language models in biomedical language benchmarks.<br><br><span style=""font-weight: bold"">Example use case:&nbsp;&nbsp;</span>Answering academic questions. See examples below.<br><br><span style=""font-weight: bold"">Technology:&nbsp;&nbsp;</span>GPT-2 Backbone<br><br><span style=""font-weight: bold"">Metrics: </span>78.2% Accuracy<br>&nbsp;&nbsp;<br><span style=""font-style: italic; font-weight: bold"">Note:</span><span style=""font-style: italic""> For better results, queries are separated into a question and a context for the question. See examples below.</span></p>"
"BioGPT: Relation Extraction - DDI, DTI, BC5CDR",BioGPT: Relation Extraction is a language model fine-tuned to find a relation between entities.,"<p>BioGPT: Relation Extraction is a language model fine-tuned to find a relation between entities.</p>
<p>Included in this app are three models finetuned on different datasets each with a different use case.</p>
<ul style=""margin-left: 36pt"">
<li style=""list-style-type: disc"">Finding the interaction between two drugs, finetuned on <span style=""color: #0088FF""><a href=""https://www.sciencedirect.com/science/article/pii/S1532046413001123"" target=""_blank"" rel=""noreferrer"">DDI</a></span></li>
<li style=""list-style-type: disc"">Finding the interaction between a drug and its target, fine-tuned on <span style=""color: #0088FF""><a href=""https://academic.oup.com/bioinformatics/article/38/22/5100/6751771"" target=""_blank"" rel=""noreferrer"">DTI</a></span></li>
<li style=""list-style-type: disc"">Finding the interaction between a chemical and a disease, finetuned on <span style=""color: #0088FF""><a href=""https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4860626/"" target=""_blank"" rel=""noreferrer"">BC5CDR</a></span></li></ul>


<div><span style=""font-weight: bold"">Example use case: </span><span style=""display: inline !important; font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: 400; orphans: 2; font-size: 16px; font-variant-ligatures: normal; font-family: Poppins, sans-serif; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; float: none; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">&nbsp;</span>See examples below.<br><br><span style=""font-weight: bold"">Technology: </span>GPT-2 Backbone<br><br><span style=""font-weight: bold"">Metrics: </span>(Precision/Recall/F1) - DDI: (41.70/44.75/40.76), DTI: (40.00/39.72/38.42), BC5CDR: (49.52/43.25/46.17)<br><br><span style=""font-weight: bold; font-style: italic"">Note:</span><span style=""font-style: italic""> Input queries should be in the form of an abstract regarding the entities you wish to find the relation between.</span></div>"
BioGPT: Document Classification - Hallmarks of Cancer,BioGPT: Document Classification is a language model fine-tuned to classify snipped of documents into 10 categories of cancer hallmarks.,"<p>BioGPT: Document Classification is a language model fine-tuned to classify snipped of documents into 10 categories of cancer hallmarks. It is trained on the Hallmarks of Cancers corpus which consists of 1580 PubMed abstracts that have been manually annotated.<br><br><span style=""font-weight: bold"">Example use case: </span>Classify what hallmark of cancer a document is reporting on.<br>&nbsp;&nbsp;<br><span style=""font-weight: bold"">Technology: </span>GPT-2 backbone<br><br><span style=""font-weight: bold"">Metrics: </span>F1 score: 85.12<br><br><span style=""font-weight: bold; font-style: italic"">Note:</span><span style=""display: inline !important; font-style: italic; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: bold; orphans: 2; font-size: 16px; font-variant-ligatures: normal; font-family: Poppins, sans-serif; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; float: none; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px"">&nbsp;</span><span style=""font-style: italic"">Input queries should be in the form of an abstract. See examples below.</span></p>"
CXR: Tuberculosis Detection,TB Detection using CXR and Superbio Neural Networks,"<div>This app processes data in two stages, using two different models, <span style=""text-decoration: underline; color: #0088FF""><a href=""https://superbioai.notion.site/CXR-Tuberculosis-Detection-c5390a5098fd473981879c28fc6634d1"" target=""_blank"" rel=""noreferrer"">details of which can be found here.</a></span></div>
<div><br></div>
<div>Files should be provided in either .png or .dcm format, with multiple files provided in a .zip compressed folder.</div>
<div><br></div>
<div><span style=""font-weight: bold"">Limitations</span>:</div>
<div><br></div>
<div>Should be used for research purposes only.</div>
<div><br></div>
<div>This is not a clinically validated tool. Do not use CXR for self-diagnosis and seek help from your local health authorities.</div>
<div><br></div>
<div>Results may not generalize well to other patient populations or manufacturers not used in training.</div>
<div><br></div>
<div><span style=""font-weight: bold"">Risks</span>: Although neither Google nor Superbio permanently store any data processed by these models, it is the data owner's responsibility to ensure that Personally identifiable information (PII) and Protected Health Information (PHI) are removed prior to data upload.</div>"
CXR: Chest X-Ray Image Classification,Image classification using CXR and Superbio Neural Networks,"<p>This app allows users to train models to predict clinical condition (e.g., Covid-19), or patient outcome (e.g., hospitalization), based on Chest X-Ray images. The user provides the images they want to train the model on, along with labels of the actual classification for each image. Once trained the model can then be applied to new datasets. <span style=""text-decoration: underline; color: #0088FF""><a href=""https://superbioai.notion.site/CXR-Chest-X-Ray-Image-Classification-634e765ebf1e4a98bb39b3492d201065"" target=""_blank"" rel=""noreferrer"">Further details on how this app works can be found here.</a></span>&nbsp;</p>
<p>Files should be provided in either .png or .dcm format, with multiple files provided in a .zip compressed folder. We recommend that at least 200 images should be used for training new models. Using more images for training will likely improve results. Labels should also be provided in .csv format: with 1 indicating the presence of a condition, and 0 indicating the control group. If multiple labels are provided instead, in string format, in a single column, then a multilabel model will be trained instead.</p>
<p><span style=""font-weight: bold"">Limitations:</span></p>
<p>Should be used for research purposes only.</p>
<p>This is not a clinically validated tool. Do not use CXR for self-diagnosis and seek help from your local health authorities.</p>
<p>Results may not generalize well to other patient populations or manufacturers not used in training.</p>
<p><span style=""font-weight: bold"">Risks</span>: Although neither Google nor Superbio permanently store any data processed by these models, it is the data owner's responsibility to ensure that Personally identifiable information (PII) and Protected Health Information (PHI) are removed prior to data upload.</p>"
CXR: Covid-19 Detection,Covid-19 Detection using CXR and Superbio Neural Networks,"<p>This app processes data in two stages, using two different models, <span style=""text-decoration: underline; color: #0088FF""><a href=""https://superbioai.notion.site/CXR-Covid-19-Detection-9f7e8b99393840ddaf8c2a4cee2702a3"" target=""_blank"" rel=""noreferrer"">details of which can be found here.</a></span></p>
<p>Files should be provided in either .png or .dcm format, with multiple files provided in a .zip compressed folder.</p>
<p><span style=""font-weight: bold"">Limitations:</span></p>
<p>Should be used for research purposes only.</p>
<p>This is not a clinically validated tool. Do not use CXR for self-diagnosis and seek help from your local health authorities.</p>
<p>Results may not generalize well to other patient populations or manufacturers not used in training.</p>
<p><span style=""font-weight: bold"">Risks</span>: Although neither Google nor Superbio permanently store any data processed by these models, it is the data owner's responsibility to ensure that Personally identifiable information (PII) and Protected Health Information (PHI) are removed prior to data upload.</p>"
DeepVariant: Deep Learning-based Variant Caller,DeepVariant (v1.5) is an analysis pipeline that treats the task of identifying genetic variants as an image classification problem from next-generation DNA sequencing data.,"<p>DeepVariant (v1.5) is a deep learning-based variant caller that analyzes and identifies variants associated with a specific trait, disease, or population.</p>
<p><span style=""font-weight: bold"">Example use case:</span> Disease research and precision medicine</p>
<p><span style=""font-weight: bold"">Technology:</span> Convolutional neural network</p>
<p><span style=""font-weight: bold"">Metrics:</span> As <span style=""color: #0088FF""><a href=""https://github.com/google/deepvariant/blob/r1.4/docs/metrics.md"" >reported</a></span><span style=""color: #0088FF"">&nbsp;</span>by the Genomics team in Google Health, ""DeepVariant maintains high accuracy across data from different sequencing technologies, prep methods, and species.""</p>"
ChatGPT for Genetics,Natural Language queries for the Open Targets platform,"<p>Query the Open Targets Platform using natural language. The Open Targets Platform (platform.opentargets.org) integrates evidence from genetics, genomics, transcriptomics, drugs, animal models, and scientific literature to score and rank target-disease associations for drug-target identification. The model accepts queries in the form of "" What are the top [k] diseases associated with [GENE NAME]?"" and "" What are the top [k] genes related to [DISEASE NAME]?"" Alternatively, for improved precision, you can use the ENSG of the gene or the EFO id for the diseases.</p>
<p><span style=""font-weight: bold"">Example use case</span>: Querying Open Targets Platform with Natural Language. If you want to know the top 8 diseases associated with the APOE gene: ""What are the top 8 diseases associated with APOE?"" or the top 3 genes associated with Alzheimer's disease: ""Find the top 3 genes related to Alzheimer disease.""</p>
<p><span style=""font-weight: bold"">Technology</span>: Open Targets Platform and GPT3</p>
<p><span style=""font-weight: bold"">Limitations</span>: It does not produce any novelty or new-knowledge that is not available in the Open Targets Platform. We are currently improving the types of queries it accepts.</p>"
Deeptrio: Deep learning-based trio variant caller,DeepTrio is a variant calling algorithm developed by the Google Brain team that extends the functionality of DeepVariant to identify genetic variants in trios or duos.,"<p>DeepTrio builds on DeepVariant's deep learning-based approach to variant calling and applies it to trio sequencing data. It uses a neural network to analyze the sequencing data from the child and both parents simultaneously, allowing it to more accurately identify de novo mutations and other genetic variants.</p>
<p><span style=""font-weight: bold"">Example use case:</span> Identify genetic variants in trios or duos</p>
<p><span style=""font-weight: bold"">Technology:</span> Neural Network</p>
<p><span style=""font-weight: bold"">Limitations:</span> Currently, the app is only working only with trios<span style=""font-style: normal; color: rgb(51, 51, 51); text-decoration-color: initial; font-weight: 400; box-sizing: border-box; orphans: 2; margin: 0px; font-size: 16px; padding: 0px; font-variant-ligatures: normal; font-family: Poppins, sans-serif !important; text-decoration-style: initial; background-color: rgb(255, 255, 255); font-variant-caps: normal; text-decoration-thickness: initial; text-align: start; text-indent: 0px; word-spacing: 0px; widows: 2; letter-spacing: normal; text-transform: none; webkit-text-stroke-width: 0px""><br></span><br></p>"
BOLT-LMM: Mixed Model Association Testing,BOLT-LMM is used for performing genome-wide association studies (GWAS) to identify genetic variants associated with complex traits or diseases.,"<p>The BOLT-LMM (v2.4.1) algorithm employs a linear mixed model (LMM) to calculate statistical measures for examining the relationship between a phenotype (observable trait) and genotypes (genetic information). BOLT-LMM assumes a Bayesian mixture of normals before the random impact attributed to SNPs other than the one being tested by default. This model generalizes the traditional ""infinitesimal"" mixed model employed by prior mixed-model association approaches (e.g., EMMAX, FaST-LMM, GEMMA, GRAMMAR-Gamma, GCTA-LOCO), allowing for enhanced detection power while reducing false positives.<br><br><span style=""font-weight: bold"">Example use case: </span>GWAS (Genome-Wide Association Study)<span style=""font-weight: bold""><br></span><br><span style=""font-weight: bold"">Technology: </span>Linear mixed model<br><br><span style=""font-weight: bold"">Limitations:<br></span>- Currently, bgen format option is not available.<br>- BOLT-LMM is recommended for analyses of human genetic datasets with more than 5,000 samples.<br>- It is also noted that association test statistics obtained from BOLT-LMM are valid for quantitative traits as well as (reasonably) balanced case-control traits.<br>- The BOLT-LMM method, similar to other mixed-model approaches, can experience reduced effectiveness when applied to the analysis of large sets of case-control data in rare diseases, which may result in decreased statistical power.<br>- The research conducted does not aim to determine how much population structure or relatedness may affect the heritability parameter (h2g) estimated by BOLT-LMM, nor does it carry out or assess genetic prediction using external validation samples from a separate group.<br>- The performance of mixed-model techniques has not been examined in datasets where family structure plays a significant role.<br>- BOLT-LMM has only been evaluated on datasets consisting of human genetic data, which exhibit distinct genetic architectures and patterns of linkage disequilibrium compared to plant and animal data.<br><br><span style=""font-weight: bold"">Metrics: </span>Some of the metrics related to the study can be found in the <span style=""text-decoration: underline; color: #0088FF""><a href=""https://www.nature.com/articles/ng.3190"" target=""_blank"" rel=""noreferrer"">article</a></span>.</p>"
